title,price_idr,city,district,bedrooms,bathrooms,garage,land_size_m2,building_size_m2,scraped_at
Dijual Rumah Siap Huni 2 Lantai di Johar Baru Jakarta Pusat,3500000000.0,Jakarta Pusat,Johar Baru,5,6,,180,277,2026-04-28T11:08:50.992824+00:00
Dijual Tiga Unit Rumah Sekaligus di Senen Jakarta Pusat,9500000000.0,Jakarta Pusat,Senen,10,4,,495,435,2026-04-28T11:08:54.126415+00:00
Dijual Cepat Rumah di Tanah Abang Jakarta Pusat,9000000000.0,Jakarta Pusat,Tanah Abang,6,2,,256,256,2026-04-28T11:08:57.358152+00:00
Dijual Rumah Posisi Hook di Johar Baru Jakarta Pusat,3300000000.0,Jakarta Pusat,Johar Baru,3,2,2,200,165,2026-04-28T11:09:00.124825+00:00
Rumah Zona Komersial Hitung Tanah di Jalan Proklamasi Menteng,24000000000.0,Jakarta Pusat,Menteng,4,7,5,688,249,2026-04-28T11:09:03.414414+00:00
Rumah 2 Lantai Menteng Jl. Maluku Jakarta Pusat,59000000000.0,Jakarta Pusat,Menteng,4,4,6,574,459,2026-04-28T11:09:06.081606+00:00
Dijual Brand New Rumah Mewah American Classic dengan Rooftop di Cempaka Putih,8000000000.0,Jakarta Pusat,Cempaka Putih,5,6,2,183,487,2026-04-28T11:09:08.855057+00:00
La-Dijual Cepat Rumah Kecamatan Menteng,16000000000.0,Jakarta Pusat,Menteng,4,3,3,412,412,2026-04-28T11:09:11.583586+00:00
Dijual Rumah Tiga Lantai di Cempaka Putih Jakarta Pusat,11000000000.0,Jakarta Pusat,Cempaka Putih,20,16,3,309,660,2026-04-28T11:09:14.911785+00:00
Dijual Rumah Besar dengan Kost Ada 17 Pintu di Cempaka Putih,18000000000.0,Jakarta Pusat,Cempaka Putih,17,12,,612,924,2026-04-28T11:09:18.042788+00:00
"(0312JBR)DIJUAL MURAH RUMAH TINGGAL PLUS KOS Lokasi STRATEGIS DEKAT BELAKANG  MALL GAJAHMADA Dan PERKANTORAN Rp2.9m nego #Contack:Menerima Titip Jual,beli,Sewa Property hub:Antolukas Wa 0813xxxxxxxx",2900000000.0,Jakarta Pusat,Petojo,15,4,2,178,180,2026-04-28T11:09:20.230947+00:00
Dijual Rumah Kost Rapih dan Terawat di Cempaka Putih Jakarta,5000000000.0,Jakarta Pusat,Cempaka Putih,31,31,,185,520,2026-04-28T11:09:27.729082+00:00
Di Jual Cepat Rumah Posisi Sangat Strategis Cocok untuk Kos-Kosan,3650000000.0,Jakarta Pusat,Johar Baru,3,3,1,171,170,2026-04-28T11:09:30.964301+00:00
"Rumah 3 Lantai 500 Meter di Krekot, Pasar Baru, Jakarta Pusat",6000000000.0,Jakarta Pusat,Pasar Baru,9,5,2,200,500,2026-04-28T11:09:34.071890+00:00
Rumah Lama Terawat di Benhil Cocok untuk Kostan,6000000000.0,Jakarta Pusat,Bendungan Hilir,5,2,1,163,150,2026-04-28T11:09:36.616651+00:00
"Dijual Cepat Rumah Luas Murah Ideal Untuk Kantor, Resto, Cafe, Kos, Hotel Atau Tempat Tinggal Di Pejompongan Bendungan Hilir Jakarta Pusat",18000000000.0,Jakarta Pusat,Bendungan Hilir,6,6,4,453,298,2026-04-28T11:09:39.725748+00:00
Rumah Lokasi Strategis Dekat Pusat Bisnis Perkantoran,5900000000.0,Jakarta Pusat,Kramat,12,10,,238,450,2026-04-28T11:09:42.391339+00:00
Rumah Bagus dan Murah Dgn Tanah Luas Lokasi Strategis di Jakpus,25000000000.0,Jakarta Pusat,Petojo,5,4,2,743,514,2026-04-28T11:09:44.907909+00:00
"Dijual !! Rumah 3 LT, 10X22, 5 KT, Furnished, Tanah Abang, Jakpus",5000000000.0,Jakarta Pusat,Tanah Abang,7,5,3,220,316,2026-04-28T11:09:47.668753+00:00
"Turun Harga Murah dan Strategis untuk Tinggal, Kantor atau Kos Bebas Banjir Dekat Dpr-Ri Posisi Hook",8000000000.0,Jakarta Pusat,Bendungan Hilir,8,2,3,220,250,2026-04-28T11:09:51.319692+00:00
Rumah Kost Kali Baru Timur Poncol Senen di Bawah NJOP,1350000000.0,Jakarta Pusat,Senen,17,11,,124,170,2026-04-28T11:09:55.729116+00:00
Rumah Kost D Ikali Baru Timur Poncol Senen di Bawah NJOP,1350000000.0,Jakarta Pusat,Senen,17,11,,124,170,2026-04-28T11:09:58.459347+00:00
"Rumah Gandeng Area Kramat Jakarta Pusat , SHM Lokasi Bagus",13500000000.0,Jakarta Pusat,Kramat,16,10,6,472,436,2026-04-28T11:10:00.623815+00:00
Dijual Rumah di Kebon Pala 3 Seberang Thamrin City,5200000000.0,Jakarta Pusat,Kebon Melati,4,3,1,155,200,2026-04-28T11:10:03.921392+00:00
"Dijual Cepat Rumah LT 288M2, SHM Kebon Kacang Tanah Abang Jakarta Pusat",18000000000.0,Jakarta Pusat,Kebon Kacang,5,2,1,288,200,2026-04-28T11:10:07.418863+00:00
Rumah Kost D Ikali Baru Timur Poncol Senen di Bawah NJOP,1350000000.0,Jakarta Pusat,Senen,17,11,,124,170,2026-04-28T11:10:11.117499+00:00
Rumah Komersial Strategis Percetakan Negara Jakarta Pusat,17000000000.0,Jakarta Pusat,Percetakan Negara,6,6,,468,380,2026-04-28T11:10:14.092344+00:00
Rumah Tua Lokasi Setrategis Komersil Percetakan Negara Jakpus,11000000000.0,Jakarta Pusat,Percetakan Negara,6,5,,254,162,2026-04-28T11:10:16.777283+00:00
Di Jual Rumah Kramat Jakarta Pusat,15000000000.0,Jakarta Pusat,Kramat,3,3,6,200,459,2026-04-28T11:10:19.748681+00:00
Rare! Mansion Situbondo Menteng 785M2 - Modern Classic & Siap Huni,71900000000.0,Jakarta Pusat,Menteng,8,4,4,785,700,2026-04-28T11:10:23.304507+00:00
"Rumah 1,5 Lantai di Pejompongan, Bendungan Hilir",10000000000.0,Jakarta Pusat,Bendungan Hilir,5,3,,297,280,2026-04-28T11:10:26.061176+00:00
Rumah Mewah Menteng Arsitek Top dijual cepat dekat Imam Bonjol,48900000000.0,Jakarta Pusat,Menteng,6,6,6,753,850,2026-04-28T11:10:31.807450+00:00
Investasi Langka kost Exclusive Baru di Tanah Abang Pusat Kota,12700000000.0,Jakarta Pusat,Tanah Abang,33,33,21,106,506,2026-04-28T11:10:34.106347+00:00
"Hitung Tanah! Rumah di Benhil 137 m2, Dekat SCBD dan Gatot Subroto, Bebas Banjir",4600000000.0,Jakarta Pusat,Bendungan Hilir,3,2,1,137,100,2026-04-28T11:10:39.276896+00:00
Turun Harga Rumah Bendungan Hilir Jakarta Pusat,5000000000.0,Jakarta Pusat,Bendungan Hilir,6,4,1,195,200,2026-04-28T11:10:41.837154+00:00
Di Jual Cepat Rumah Siap Huni 3 Kamar Tidur,1500000000.0,Jakarta Pusat,Cempaka Putih,3,2,1,78,117,2026-04-28T11:10:44.597762+00:00
Rumah.siap.huni.di Cempaka Putih,2800000000.0,Jakarta Pusat,Cempaka Putih,4,2,1,150,300,2026-04-28T11:10:47.767571+00:00
"Dijual Rumah Jalan Kemurnian Luas Tanah 380M2,T Glodok,Taman Sari Jakarta",10000000000.0,Jakarta Pusat,Glodok,8,7,2,380,300,2026-04-28T11:10:51.877329+00:00
"Dijual Kos & Kios Strategis Kemayoran Jakarta Pusat - 13 Kamar + 7 Kios, Cocok Investasi Passive Income",4900000000.0,Jakarta Pusat,Kemayoran,13,5,2,162,360,2026-04-28T11:10:54.565931+00:00
"Rumah, 1 Lantai, SHM,",10000000000.0,Jakarta Pusat,Kartini,9,5,1,420,420,2026-04-28T11:10:58.297092+00:00
"Dijual Kos Strategis 19 Kamar di Kemayoran Jakarta Pusat - Siap Hasil, Lokasi Premium",5400000000.0,Jakarta Pusat,Kemayoran,19,11,1,214,430,2026-04-28T11:11:02.505654+00:00
"Rumah di Senayan Area, Jakarta Selatan Kompleks Jalan Lebar",23000000000.0,Jakarta Pusat,Senayan,5,6,4,565,400,2026-04-28T11:11:05.666943+00:00
Dijual Rumah Jln Batu Tulis Jakarta Pusat,2000000000.0,Jakarta Pusat,Gambir,5,3,1,107,170,2026-04-28T11:11:08.421786+00:00
Rumah Asri Jalan Lebar Bebas Banjir Area Jl. Kramat Jakarta Pusat,9000000000.0,Jakarta Pusat,Kramat,7,5,5,400,600,2026-04-28T11:11:11.241043+00:00
"Rumah Mewah 2 Lantai di Menteng, Siap Huni, Ada Pool",100000000000.0,Jakarta Pusat,Menteng,8,7,4,862,1500,2026-04-28T11:11:14.187826+00:00
Murah !! Dijual Rumah 2 Lantai di Gambir Jakarta Pusat Pinggir Jalan Raya,5500000000.0,Jakarta Pusat,Gambir,4,3,2,162,272,2026-04-28T11:11:16.829672+00:00
Rumah Kost Elit Cempaka Putih Bagus Full Furnish,4500000000.0,Jakarta Pusat,Cempaka Putih,13,13,2,142,300,2026-04-28T11:11:19.779938+00:00
"Rumah 2 Lantai di Pejompongan, Luas 165 m2, Lokasi Strategis",6800000000.0,Jakarta Pusat,Bendungan Hilir,3,2,1,165,250,2026-04-28T11:11:22.872365+00:00
"Rumah di Pejompongan, Akses Jalan Muat 3 Mobil, Dekat Gedung BPK",7200000000.0,Jakarta Pusat,Bendungan Hilir,4,3,1,185,270,2026-04-28T11:11:25.960814+00:00
Turun Harga! Rumah Pavilion di Pegangsaan - Hitung Tanah.,11000000000.0,Jakarta Pusat,Pegangsaan,4,2,4,1413,324,2026-04-28T11:11:28.928489+00:00
"Dijual Rumah Rembang Menteng, Dekat Transportasi",7500000000.0,Jakarta Pusat,Menteng,3,2,,93,180,2026-04-28T11:11:31.800758+00:00
Di Jual Rumah Hook Bagus Full Furnished Cempaka Putih Tengah,12500000000.0,Jakarta Pusat,Cempaka Putih,5,5,4,375,600,2026-04-28T11:11:37.304529+00:00
Rumah Mewah 3 Lantai Ada Rooftop Luas Strategis di Cempaka Putih,8500000000.0,Jakarta Pusat,Cempaka Putih,5,5,2,183,427,2026-04-28T11:11:40.291890+00:00
"Dijual Rumah Rembang Menteng, Aman dan Nyaman",7500000000.0,Jakarta Pusat,Menteng,3,2,,93,180,2026-04-28T11:11:43.426533+00:00
Rumah 2 Lantai Senen Kalibaru,2400000000.0,Jakarta Pusat,Senen,3,2,1,136,216,2026-04-28T11:11:46.962134+00:00
Rumah Mewah Newly Renovated Siap Huni di Menteng,18000000000.0,Jakarta Pusat,Menteng,3,3,,222,345,2026-04-28T11:11:49.478566+00:00
"Rumah Kemayoran 400M2 Hadap Utara,2 Lantai,Strategis,Kode Ds",6000000000.0,Jakarta Pusat,Kemayoran,6,5,,400,400,2026-04-28T11:11:53.034385+00:00
A Cozy Town House Springhill Golf Residence,5500000000.0,Jakarta Pusat,Kemayoran,4,3,4,153,363,2026-04-28T11:11:56.503039+00:00
Nego Sampai Deal Dijual Cepat Rumah Kokoh Bangunan H 2 Lantai Asri dan Tenang,11000000000.0,Jakarta Pusat,Kramat,6,4,2,301,300,2026-04-28T11:11:59.109896+00:00
Rumah Strategis Dekat Rs Pertamina Cempaka Putih Jakarta Pusat,4500000000.0,Jakarta Pusat,Cempaka Putih,7,3,2,235,300,2026-04-28T11:12:02.695352+00:00
Dijual Rumah 2 Lantai Luas Tanah 322 M2 di Gambir Jakarta Pusat,5750000000.0,Jakarta Pusat,Gambir,4,3,3,322,200,2026-04-28T11:12:05.540167+00:00
"Murah,Rumah Tua Terawat Super Strategis Cempaka Putih Jakpus",2500000000.0,Jakarta Pusat,Cempaka Putih,2,3,,205,200,2026-04-28T11:12:09.201905+00:00
Rumah Mewah Private Pool || Lokasi Prime Area Ring 1,40000000000.0,Jakarta Pusat,Menteng,5,4,3,318,482,2026-04-28T11:12:12.614311+00:00
"Rumah 1,5 Lantai di Pejompongan, Bendungan Hilir",10000000000.0,Jakarta Pusat,Bendungan Hilir,5,3,,297,280,2026-04-28T11:12:15.618311+00:00
":Fire: Hot Deal - Harga di Bawah Pasar! :Fire:dijual Cepat Rumah 2 Lantai - Area Premium Kebon Sirih, Jakarta Pusat",7500000000.0,Jakarta Pusat,Kebon Sirih,4,4,,274,277,2026-04-28T11:12:18.589732+00:00
Jual Rumah Mewah Senayan Jakarta SHM Rapi Siap Huni,34000000000.0,Jakarta Pusat,Senayan,7,8,3,270,600,2026-04-28T11:12:22.343155+00:00
R02-0394 Dijual Rumah Modern Minimalis Cempaka Putih Jakarta Pusat,5500000000.0,Jakarta Pusat,Cempaka Putih,5,5,,205,320,2026-04-28T11:12:25.933121+00:00
Dijual Kos-Kosan 30 Kamar Dekat Kampus Binus Kemanggisan #266999,14000000000.0,Jakarta Pusat,Senen,40,40,,172,577,2026-04-28T11:12:28.841945+00:00
"Rumah Minimalis Modern, Siap Huni Di Kawasan Premium Menteng",60000000000.0,Jakarta Pusat,Menteng,4,3,4,629,850,2026-04-28T11:12:31.939600+00:00
Rumah 2lantai Jalan Gang Siap Huni Percetakan Negara Jakarta,550000000.0,Jakarta Pusat,Percetakan Negara,2,2,,22,50,2026-04-28T11:12:35.344841+00:00
Rumah Keadilan Harga Dibawah NJOP !!,4500000000.0,Jakarta Pusat,Glodok,3,3,,168,100,2026-04-28T11:12:37.758235+00:00
Dijual Rumah Terstrategis di Johar Jakarta Pusat,2900000000.0,Jakarta Pusat,Johar Baru,3,2,,180,180,2026-04-28T11:12:45.107564+00:00
RUMAH MEWAH SIAP HUNI DI MENTENG JAKARTA PUSAT,56000000000.0,Jakarta Pusat,Menteng,6,6,8,750,600,2026-04-28T11:12:48.459638+00:00
Rumah Kost D Ikali Baru Timur Poncol Senen di Bawah NJOP,1350000000.0,Jakarta Pusat,Senen,17,11,,124,170,2026-04-28T11:12:52.679432+00:00
"Rumah Mewah Tanah Abang - Harga Turun Signifikan! Tanah Abang, Jakarta Pusatluas Tanah: 585 M² (Shm)Luas Bangunan: 618 M²Dimensi:depan: 15 M X 40 Mbelakang: 16 M (Ngantong)Spesifikasi:- 5 Kamar Tidur- 3 Kamar Mandi- Listrik 10.500 Watt- 5 Unit Ac- Fully F",24000000000.0,Jakarta Pusat,Tanah Abang,3,3,1,585,618,2026-04-28T11:12:55.188139+00:00
Rumah Mewah Terawat Siap Huni di Menteng Jakarta Pusat,95000000000.0,Jakarta Pusat,Menteng,9,7,8,1100,1800,2026-04-28T11:12:58.500055+00:00
Menteng - Rumah Tua Hitung Tanah. Dijual Lelang. Harga Sangat Murah. SHM Lt 716 M2. Dijl Cilosari. Menteng Cikini. Jakarta Pusat,17500000000.0,Jakarta Pusat,Menteng,4,2,3,716,504,2026-04-28T11:13:00.819685+00:00
Rumah Mewah Harga Murah Jakarta Pusat Strategis,9000000000.0,Jakarta Pusat,Salemba,7,7,5,376,650,2026-04-28T11:13:02.976731+00:00
"Turun Harga !!! Jual Cepat Rumah Tinggal Di Benhil, Jakarta Pusat, 1 Lantai, Asri Teduh Di Jantung Ibukota...",6800000000.0,Jakarta Pusat,Bendungan Hilir,5,2,2,256,188,2026-04-28T11:13:05.997967+00:00
Menteng - Rumah Tua Hitung Tanah. SHM. Lt 529 M2. Dijl Jaksa.kebon Siri. Menteng. Jakarta Pusat,14500000000.0,Jakarta Pusat,Menteng,4,2,3,529,370,2026-04-28T11:13:09.607872+00:00
Rumah Dijual di Jln Cideng Timur Tanah Abang Jakarta Pusat,15000000000.0,Jakarta Pusat,Cideng,6,4,,400,580,2026-04-28T11:13:12.280247+00:00
Rumah Murah Siap Huni Cempaka Putih,3500000000.0,Jakarta Pusat,Percetakan Negara,5,6,3,180,277,2026-04-28T11:13:15.838589+00:00
Dijual & Disewakan Rumah Dikawasan Elite Menteng Jakarta Pusat Dki Jakrta,300000000000.0,Jakarta Pusat,Menteng,4,4,,1500,1500,2026-04-28T11:13:18.759103+00:00
Rumah Kost Dan Tempat Tinggal Di Tanah Abang 4,30000000000.0,Jakarta Pusat,Tanah Abang,40,10,4,655,1350,2026-04-28T11:13:21.359735+00:00
Super strategis Rumah luas dijual di Pejompongan Jakarta Pusat,19000000000.0,Jakarta Pusat,Pejompongan,5,8,4,400,230,2026-04-28T11:13:25.592959+00:00
Miliki Segera Rumah Murah Bergaya Minimalis Modern Cempaka Putih,6300000000.0,Jakarta Pusat,Cempaka Putih,5,7,2,180,240,2026-04-28T11:13:28.665613+00:00
Rumah Mewah Gunung Sahari Ada Kolam Renang & Ruang Aula,9700000000.0,Jakarta Pusat,Gunung Sahari,6,7,3,280,420,2026-04-28T11:13:31.762907+00:00
Jual Cepat !! Rumah Bendungan Hilir Hitung Tanah Area Kos Kosan,4500000000.0,Jakarta Pusat,Bendungan Hilir,4,2,1,196,126,2026-04-28T11:13:35.406318+00:00
Rumah Mewah Siap Huni di Menteng Jakarta Pusat Lokasi Strategis,80000000000.0,Jakarta Pusat,Menteng,4,4,,1078,1460,2026-04-28T11:13:38.783977+00:00
"Menteng Prime Area, Jakarta Pusat",27000000000.0,Jakarta Pusat,Menteng,,,,275,500,2026-04-28T11:13:41.557033+00:00
Rumah Cempaka Putih Siap Huni Jarang Ada,7800000000.0,Jakarta Pusat,Cempaka Putih,7,7,3,408,450,2026-04-28T11:13:45.142361+00:00
"Best Price!!! Bendungan Hilir, Bangunan 2024 Desain Skandinavian",4800000000.0,Jakarta Pusat,Bendungan Hilir,3,3,1,115,150,2026-04-28T11:13:52.193764+00:00
Rumah Luas di Pusat Kota Akses Jalan 2 Mobil,5500000000.0,Jakarta Pusat,Johar Baru,5,3,1,306,208,2026-04-28T11:13:55.200246+00:00
Dijual Rumah Mewah Premium Full Furnish Cempaka Putih,35000000000.0,Jakarta Pusat,Cempaka Putih,7,6,5,600,1850,2026-04-28T11:13:57.793167+00:00
Murah Rumah Menteng Jakarta Pusat Dibawah Pasaran,17000000000.0,Jakarta Pusat,Menteng,10,5,3,323,200,2026-04-28T11:14:00.389772+00:00
"Rumah Lama di Jl Pramuka, Paseban, Senen. Dkt ke Jl Salemba",4200000000.0,Jakarta Pusat,Salemba,7,3,2,320,200,2026-04-28T11:14:04.017010+00:00
Rumah Second Dijual Cepat Dekat Rs Pertamina Cempaka Putih Jak Pus,4500000000.0,Jakarta Pusat,Cempaka Putih,7,3,2,235,300,2026-04-28T11:14:07.264480+00:00
"Semanggi, Rumah Lama dengan Are Tenang, Bebas Banjir dan Jalanan Lebar",23000000000.0,Jakarta Pusat,Karet Tengsin,6,5,2,488,500,2026-04-28T11:14:10.348617+00:00
Rumah Baru On Progress di Kemayoran Jakarta Pusat,2000000000.0,Jakarta Pusat,Kemayoran,5,5,1,75,135,2026-04-28T11:14:13.637745+00:00
Rumah Siap Huni Akses Jalan Lebar di Cempaka Putih Jakarta Pusat,5300000000.0,Jakarta Pusat,Cempaka Putih,8,4,2,226,360,2026-04-28T11:14:16.692898+00:00
Dijual Rumah Strategis Siap Huni di Cempaka Putih Jakarta Pusat,8500000000.0,Jakarta Pusat,Cempaka Putih,6,5,4,242,279,2026-04-28T11:14:19.821166+00:00
Rumah Brand New Mewah Siap Huni di Cempaka Putih Tengah,5850000000.0,Jakarta Pusat,Cempaka Putih,4,3,,169,290,2026-04-28T11:14:22.379517+00:00
Rumah Baru Siap Huni di Cempaka Putih Jakarta Pusat,2750000000.0,Jakarta Pusat,Cempaka Putih,4,4,1,90,130,2026-04-28T11:14:25.744233+00:00
Rumah Bagus Dijual Murah Deket Sekolah Mahatma Gandhi Kemayoran,5500000000.0,Jakarta Pusat,Kemayoran,,,,264,400,2026-04-28T11:14:28.189241+00:00
Rumah Mewah Cluster Elite Jual Murah Menteng Sektor 7 Bintaro,20000000000.0,Jakarta Pusat,Menteng,11,13,8,1000,2000,2026-04-28T11:14:31.309363+00:00
"Jual Rumah Standar Sumur Batu (Dekat Cempaka Mas) Cocok Usaha Kost dengan Luas Tanah 10 X 10 Harga 1,4M Nego",1400000000.0,Jakarta Pusat,Sumur Batu,2,2,1,100,70,2026-04-28T11:14:34.321613+00:00
"Rumah Lama Terawat Di Menteng Jakarta Pusat, Dekat Taman Menteng",85000000000.0,Jakarta Pusat,Menteng,6,5,5,885,400,2026-04-28T11:14:37.595706+00:00
Dijual Rumah Tua Hitung Tanah di Kebon Kacang Luas 288 Meter Lokasi Bagus,18000000000.0,Jakarta Pusat,Tanah Abang,5,2,1,288,240,2026-04-28T11:14:40.737118+00:00
Dijual Rumah di Pinggir Jalan Jakarta Pusat,5200000000.0,Jakarta Pusat,Kramat,5,3,2,250,250,2026-04-28T11:14:44.330267+00:00
Jual Cepat Butuh Uang BU Rumah Tua Hitung Tanah 457 m2 Jalan Raya,8500000000.0,Jakarta Pusat,Menteng,3,3,6,457,428,2026-04-28T11:14:47.206309+00:00
Jual Butuh Rumah 11 Kamar Kost di Roxy Jakpus,750000000.0,Jakarta Pusat,Roxy,11,3,,56,100,2026-04-28T11:14:49.913012+00:00
Rumah 1 Milyaran Jakarta Pusat,1500000000.0,Jakarta Pusat,Percetakan Negara,3,2,1,69,113,2026-04-28T11:14:55.600790+00:00
Rumah 2 Lantai Layak Huni di Sangihe Roxy Jakarta Pusat,1900000000.0,Jakarta Pusat,Roxy,4,2,,100,200,2026-04-28T11:14:58.317256+00:00
Bangunan Di Area Thamrin,50000000000.0,Jakarta Pusat,Kebon Melati,3,2,,232,450,2026-04-28T11:15:00.878294+00:00
Rumah Mewah Dalam Komplek One Gate System di Cempaka Putih,7800000000.0,Jakarta Pusat,Cempaka Putih,7,7,,408,430,2026-04-28T11:15:03.341764+00:00
Rumah Zona Komersial di Bungur Besar Cocok untuk Usaha,2500000000.0,Jakarta Pusat,Kemayoran,3,2,1,200,100,2026-04-28T11:15:06.832806+00:00
Rumah dng Paviliun Lokasi Strategis di Salemba Tengah - Jakarta Pusat,12700000000.0,Jakarta Pusat,Salemba,7,5,8,450,250,2026-04-28T11:15:09.413040+00:00
Rumah Kemayoran Jl Spoor Angkasa Pelni Gunung Sahari Murah Bu,775000000.0,Jakarta Pusat,Kemayoran,2,2,,39,49,2026-04-28T11:15:12.585646+00:00
Best Deal Rumah Cideng Jauh Dibawah NJOP Lokasi Sangat Strategis,5900000000.0,Jakarta Pusat,Cideng,4,3,,245,175,2026-04-28T11:15:15.356103+00:00
"For Sale:menteng Classic, 2 Lantai, Elite Dekat Thamrin, Tidak Tusuk Sate",65000000000.0,Jakarta Pusat,Menteng,12,12,10,870,1400,2026-04-28T11:15:17.943520+00:00
Jual Dibawah NJOP Rumah 10X26 Jl Pemadam Duri Pulo Gambir Jakarta Pusat,6500000000.0,Jakarta Pusat,Gambir,4,4,8,260,170,2026-04-28T11:15:20.532985+00:00
Sell Below NJOP House 10X25 Jl Pemadam Duri Pulo Gambir Jakarta Pusat,6600000000.0,Jakarta Pusat,Gambir,4,4,8,248,248,2026-04-28T11:15:23.076047+00:00
"Dijual Rumah di Kramat, Senen - Jakpus",6500000000.0,Jakarta Pusat,Senen,7,4,3,280,575,2026-04-28T11:15:26.543275+00:00
Dijual Rumah untuk Kos2 An Daerah Matraman Jakarta Pusat,2500000000.0,Jakarta Pusat,Pegangsaan,4,4,2,88,120,2026-04-28T11:15:30.001094+00:00
Rumah Hitung Tanah di Kali Baru Timur Jakarta Pusat Strategis,13500000000.0,Jakarta Pusat,Bungur,1,1,,550,750,2026-04-28T11:15:32.385964+00:00
Rumah Menteng Di Jl Tegal Tenang Strategis,46000000000.0,Jakarta Pusat,Menteng,7,6,,611,900,2026-04-28T11:15:35.711920+00:00
Rumah Menteng Jalan Sukabumi Strategis Dan Tenang Dekat Taman,37000000000.0,Jakarta Pusat,Menteng,6,5,,676,340,2026-04-28T11:15:38.730781+00:00
Rumah Mewah Newly Renovated Siap Huni di Menteng,18700000000.0,Jakarta Pusat,Menteng,3,3,,222,345,2026-04-28T11:15:42.018811+00:00
Rumah Gunung Sahari,2200000000.0,Jakarta Pusat,Gunung Sahari,4,2,,87,132,2026-04-28T11:15:44.476416+00:00
Jual Cepat Springhill Residences 8x15 HGB,4850000000.0,Jakarta Pusat,Kemayoran,3,3,2,120,240,2026-04-28T11:15:51.063307+00:00
Menteng Ring 1 Kondisi Bagus Mewah 5 Menit ke Bundaran Hi,75000000000.0,Jakarta Pusat,Menteng,10,10,,794,750,2026-04-28T11:15:54.102262+00:00
"Dijual Rumah Unit Langka Lokasi Paling Premium Jakarta. Selalu Disewa oleh Ekspatriat, 4 Br Luas 500 M2 Private Pool, Menteng Jakarta Pusat",27500000000.0,Jakarta Pusat,Menteng,5,4,3,285,500,2026-04-28T11:16:00.783822+00:00
"Rumah Tua Di Menteng, Lokasi Tenang, Di Pusat Jakarta",70000000000.0,Jakarta Pusat,Menteng,,,,781,322,2026-04-28T11:16:03.418063+00:00
Kos-Kosan Strategis Daerah Perkantoran & Komersil Benhil Jakpus,9250000000.0,Jakarta Pusat,Bendungan Hilir,22,24,1,191,450,2026-04-28T11:16:07.057186+00:00
For Sale Rumah Hitung Tanah Bendungan Hilir Jakarta Pusat,10500000000.0,Jakarta Pusat,Bendungan Hilir,4,4,3,296,325,2026-04-28T11:16:10.047506+00:00
Prime Location Jual Rumah di Menteng Jakarta Pusat,54000000000.0,Jakarta Pusat,Menteng,,7,,657,900,2026-04-28T11:16:13.297592+00:00
Brand New Renovated Jual Rumah Mewah Menteng Jakarta Pusat,58000000000.0,Jakarta Pusat,Menteng,4,4,,753,550,2026-04-28T11:16:15.790811+00:00
Dijual Rumah + Kost di Cempaka Putih Jakpus,8800000000.0,Jakarta Pusat,Cempaka Putih,15,9,1,360,600,2026-04-28T11:16:18.458177+00:00
Dijual Cepat! Rumah Bendungan Hilir Hitung Tanah Area Bisnis Dekat Jalan Raya,3600000000.0,Jakarta Pusat,Bendungan Hilir,3,1,,120,90,2026-04-28T11:16:20.885180+00:00
Rumah Mewah Dalam Komplek One Gate System di Cempaka Putih,7800000000.0,Jakarta Pusat,Cempaka Putih,7,7,,408,430,2026-04-28T11:16:23.475020+00:00
Rumah Cempaka Putih Tengah,9000000000.0,Jakarta Pusat,Cempaka Putih,4,3,4,380,240,2026-04-28T11:16:26.092350+00:00
Rumah Murah Cideng Jauh Dibawah NJOP Akses 1 Mobil,5900000000.0,Jakarta Pusat,Cideng,3,4,,245,175,2026-04-28T11:16:29.019568+00:00
Rumah Mewah di Cempaka Putih Jakarta Pusat,11600000000.0,Jakarta Pusat,Cempaka Putih,5,5,1,375,600,2026-04-28T11:16:31.233398+00:00
Rumah 2 Lantai Hitung Tanah Cocok untuk Dibangun Kostan Area Kebon Kacang Jakarta Pusat,10000000000.0,Jakarta Pusat,Kebon Kacang,11,5,2,247,210,2026-04-28T11:16:34.638809+00:00
Rumah Town House Springhill Kemayoran Jakarta Murah Bagus,6000000000.0,Jakarta Pusat,Kemayoran,6,3,,153,360,2026-04-28T11:16:42.050462+00:00
Rumah Brand New 3 Lantai di Johar Baru S9468,1800000000.0,Jakarta Pusat,Johar Baru,4,5,,63,163,2026-04-28T11:16:44.770064+00:00
"Rumah Dalam Bentuk Guest House, 2 Gedung, 3 Lantai dan 2 Lantai",135000000000.0,Jakarta Pusat,Menteng,21,21,,1663,3000,2026-04-28T11:16:48.173839+00:00
Murah Dibawah Njop Rumah Siap Huni Petojo Selatan Lebar 11.5 Luas 400m Cocok Untuk Dibangun Kost,10000000000.0,Jakarta Pusat,Petojo,11,6,3,422,400,2026-04-28T11:16:50.405814+00:00
Dijual Rumah + Kontrakan Cempaka Baru Kemayoran Jakarta Pusat,2000000000.0,Jakarta Pusat,Kemayoran,4,2,2,172,112,2026-04-28T11:16:53.341168+00:00
Rumah Mewah Dalam Komplek One Gate System di Cempaka Putih,7800000000.0,Jakarta Pusat,Cempaka Putih,7,7,,408,430,2026-04-28T11:16:56.874935+00:00
Di Jual Rumah Menteng Lokasi Eksklusif,50000000000.0,Jakarta Pusat,Menteng,7,8,6,733,548,2026-04-28T11:17:00.143031+00:00
